city_key,city,neighborhood_key,neighborhood,listings,analyzable,activity_sum,activity_mean,latitude,longitude,coverage,activity_per_listing
london,Londres,london:hillingdon,Hillingdon,668,668,820.16,1.2277844311377244,51.518595,-0.445045,1.0,1.2277844311377244
london,Londres,london:camden,Camden,5972,5972,6971.46,1.167357669122572,51.53909,-0.13942,1.0,1.167357669122572
london,Londres,london:westminster,Westminster,9588,9588,10647.54,1.1105068836045058,51.515185,-0.16449999999999998,1.0,1.1105068836045058
madrid,Madrid,madrid:casco histórico de barajas,Casco Histórico de Barajas,38,38,96.53,2.540263157894737,40.47352,-3.57876,1.0,2.540263157894737
madrid,Madrid,madrid:alameda de osuna,Alameda de Osuna,50,50,75.58,1.5116,40.45513,-3.5915749999999997,1.0,1.5116
madrid,Madrid,madrid:piovera,Piovera,31,31,42.57,1.373225806451613,40.45651,-3.64354,1.0,1.373225806451613
milan,Milán,milan:centrale,CENTRALE,689,689,768.8100000000001,1.115834542815675,45.4865,9.20441,1.0,1.115834542815675
milan,Milán,milan:duomo,DUOMO,1003,1003,932.17,0.9293818544366899,45.46213,9.18671,1.0,0.9293818544366899
milan,Milán,milan:maciachini - maggiolina,MACIACHINI - MAGGIOLINA,265,265,190.0,0.7169811320754716,45.49734,9.19785,1.0,0.7169811320754716
new_york,Nueva York,new_york:east elmhurst,East Elmhurst,185,185,824.73,4.458,40.76275,-73.87712,1.0,4.458
new_york,Nueva York,new_york:springfield gardens,Springfield Gardens,85,85,356.42,4.193176470588235,40.66509,-73.76345,1.0,4.193176470588235
new_york,Nueva York,new_york:south ozone park,South Ozone Park,40,40,120.78999999999999,3.0197499999999997,40.672655,-73.796785,1.0,3.0197499999999997
sydney,Sídney,sydney:auburn,Auburn,469,468,862.7,1.8433760683760685,-33.84714136756824,151.0736512534,0.997867803837953,1.8433760683760685
sydney,Sídney,sydney:penrith,Penrith,132,132,179.75,1.3617424242424243,-33.760550399220904,150.71134262516858,1.0,1.3617424242424243
sydney,Sídney,sydney:sydney,Sydney,9241,9218,10797.1,1.1713061401605556,-33.88197781603166,151.20740770104322,0.9975110918731739,1.1713061401605556
tokyo,Tokio,tokyo:bunkyo ku,Bunkyo Ku,129,129,318.07,2.465658914728682,35.72175,139.76077,1.0,2.465658914728682
tokyo,Tokio,tokyo:shibuya ku,Shibuya Ku,854,854,2047.75,2.3978337236533958,35.664905000000005,139.694965,1.0,2.3978337236533958
tokyo,Tokio,tokyo:nakano ku,Nakano Ku,290,290,673.52,2.3224827586206898,35.70605,139.672205,1.0,2.3224827586206898
